e仔白糖棒冰	46g×80支	46g×80支	e仔白糖棒冰	e仔白糖棒冰	冰淇淋	e仔	e仔白糖棒冰46g×80支
光明-阿嫲的冰糕金品香草口味	1×75g×40支	75g×40支	阿嫲的冰糕金品香草口味雪糕	阿嫲的冰糕金品(香草)	冰淇淋	阿嫲的冰糕	阿嫲的冰糕金品香草口味雪糕75g×40支
光明-一品酸奶杯	1×70g×15杯	70g×15杯	阿嫲的冰糕逸品酸奶冰淇淋(杯)	阿嫲的冰糕逸品酸奶杯装	冰淇淋	阿嫲的冰糕	阿嫲的冰糕逸品酸奶冰淇淋(杯)70g×15杯
阿嫲的冰糕一品酸奶杯	1×70g×15杯	70g×15杯	阿嫲的冰糕逸品酸奶冰淇淋(杯)	阿嫲的冰糕逸品酸奶杯装	冰淇淋	阿嫲的冰糕	阿嫲的冰糕逸品酸奶冰淇淋(杯)70g×15杯
阿玛咪牛奶杯	1×60g×40杯	60g×40杯	阿玛咪牛奶口味雪糕(杯)	阿玛咪(牛奶)杯装	冰淇淋	阿玛咪	阿玛咪牛奶口味雪糕(杯)60g×40杯
阿玛咪菠萝雪糕	1×65g×40支	65g×40支	阿玛咪菠萝雪糕	阿玛咪雪糕(菠萝)	冰淇淋	阿玛咪	阿玛咪菠萝雪糕65g×40支
阿玛咪牛奶脆皮雪糕	1×65g×40支	65g×40支	阿玛咪香草牛奶脆皮口味雪糕	阿玛咪脆皮雪糕(香草牛奶)	冰淇淋	阿玛咪	阿玛咪香草牛奶脆皮口味雪糕65g×40支
阿玛咪巧克力脆筒	1×70g×20支	70g×20支	阿玛咪巧克力口味脆筒雪糕	阿玛咪脆筒(巧克力)	冰淇淋	阿玛咪	阿玛咪巧克力口味脆筒雪糕70g×20支
阿玛咪香草脆筒	1×70g×20支	70g×20支	阿玛咪香草口味脆筒雪糕	阿玛咪脆筒(香草)	冰淇淋	阿玛咪	阿玛咪香草口味脆筒雪糕70g×20支
阿玛咪香草火炬	1×68g×30支	68g×30支	阿玛咪大火炬香草口味雪糕	阿玛咪大火炬(香草)	冰淇淋	阿玛咪	阿玛咪大火炬香草口味雪糕68g×30支
阿玛咪老雪糕	1×65g×40支	65g×40支	阿玛咪老雪糕奶油口味雪糕	阿玛咪老雪糕(奶油)	冰淇淋	阿玛咪	阿玛咪老雪糕奶油口味雪糕65g×40支
阿玛咪绿豆糕	1×65g×40支	65g×40支	阿玛咪绿豆糕绿豆口味雪糕	阿玛咪绿豆糕(绿豆)	冰淇淋	阿玛咪	阿玛咪绿豆糕绿豆口味雪糕65g×40支
阿玛咪香草雪糕	1×65g×40支	65g×40支	阿玛咪香草雪糕	阿玛咪雪糕(香草)	冰淇淋	阿玛咪	阿玛咪香草雪糕65g×40支
阿玛咪小奶糕	1×65g×40支	65g×40支	阿玛咪小奶糕奶糕口味雪糕	阿玛咪小奶糕(奶糕)	冰淇淋	阿玛咪	阿玛咪小奶糕奶糕口味雪糕65g×40支
阿裕-奶油草莓	1×70g×24	70g×24杯	阿裕食品奶油草莓雪泥(杯)	阿裕食品雪泥(奶油草莓)杯装	冰淇淋	阿裕食品	阿裕食品奶油草莓雪泥(杯)70g×24杯
阿裕简单爱脆筒	1×85g×20支	85g×20支	阿裕食品简单爱香草口味脆筒	阿裕食品简单爱(香草脆筒)	冰淇淋	阿裕食品	阿裕食品简单爱香草口味脆筒85g×20支
