店铺名称	用户名	公司	经销商	联系人	联系电话	邮箱	地址
宜家隆超市	13121037069	北京昌平区合和意心商贸有限公司	北京昌平区合和意心商贸有限公司	宜家隆超市	13121037069		八仙主街
世纪家家福超市 	13261207901	北京昌平区合和意心商贸有限公司	北京昌平区合和意心商贸有限公司	世纪家家福超市 	13261207901		八仙主街
新世纪超市 	15321806159	北京昌平区合和意心商贸有限公司	北京昌平区合和意心商贸有限公司	新世纪超市 	15321806159		八仙主街
经纬发超市 	13521957323	北京昌平区合和意心商贸有限公司	北京昌平区合和意心商贸有限公司	经纬发超市 	13521957323		八仙中街
世纪华联2258 	15300023892	北京昌平区合和意心商贸有限公司	北京昌平区合和意心商贸有限公司	世纪华联2258 	15300023892		八仙中街
华联生活超市 	15300353816	北京昌平区合和意心商贸有限公司	北京昌平区合和意心商贸有限公司	华联生活超市 	15300353816		八仙中街
咏彤超市 	15321398513	北京昌平区合和意心商贸有限公司	北京昌平区合和意心商贸有限公司	咏彤超市 	15321398513		八仙中街
鑫鑫商店 	13121317550	北京昌平区合和意心商贸有限公司	北京昌平区合和意心商贸有限公司	鑫鑫商店 	13121317550		八仙中街
一分利超市 	13693092605	北京昌平区合和意心商贸有限公司	北京昌平区合和意心商贸有限公司	一分利超市 	13693092605		八仙中街
新世纪华联 	13552907621	北京昌平区合和意心商贸有限公司	北京昌平区合和意心商贸有限公司	新世纪华联 	13552907621		八仙中街
诚信超市 	13521570555	北京昌平区合和意心商贸有限公司	北京昌平区合和意心商贸有限公司	诚信超市 	13521570555		白庙村东街向北
世纪庐陵超市 	13391998632	北京昌平区合和意心商贸有限公司	北京昌平区合和意心商贸有限公司	世纪庐陵超市 	13391998632		白庙村中街
华联超市生活馆 	13261482720	北京昌平区合和意心商贸有限公司	北京昌平区合和意心商贸有限公司	华联超市生活馆 	13261482720		白庙东街
金华美超市 	17778703685	北京昌平区合和意心商贸有限公司	北京昌平区合和意心商贸有限公司	金华美超市 	17778703685		白庙村中街
